Kod METEO,Nazwa stacji,longitude,latitude
93460,STARY BRZEŚĆ,18.91361111,52.61666667
91355,IZBICA,17.43861111,54.68333333
94168,STANKOWICE,15.31361111,51.01666667
92852,MOŃKI,22.79583333,53.40027778
92853,SOSNOWO,22.92555556,53.70027778
92740,OSTROŁĘKA,21.56361111,53.08361111
96641,WĘGLÓWKA,20.07444444,49.75027778
95584,ZĄBKOWICE,19.2625,50.38361111
94416,OSJAKÓW,18.78472222,51.28361111
93154,ROKITNO,15.64055556,52.55027778
94751,SARNÓWEK DUŻY,21.44416667,51.01722222
96547,SZCZYRK,18.99916667,49.70055556
91651,BORNITY,20.05083333,54.18416667
93663,WARSZAWA-CZAJKA,20.96138889,52.35083333
94354,SOBÓTKA II,17.85861111,51.78416667
93368,LUBONIEC,17.20194444,52.1675
95254,KAMIENNA GÓRA,16.03777778,50.7675
95131,WYSZKÓW,14.99277778,50.9675
92559,BUCZYNIEC,19.58472222,53.96777778
94356,OSTRZESZÓW II,17.91555556,51.43444444
94224,STRUPINA,16.81888889,51.38472222
92854,BACZE SUCHE,22.11666667,53.06833333
98505,KOSZARAWA-ŻŁABNE,19.44583333,49.66833333
95365,GOŚCIEJOWICE,17.62305556,50.65166667
92259,KARSIBÓR II,16.39805556,53.35166667
96845,KAŃCZUGA,22.40722222,49.98527778
94743,GRABOWIEC,21.38527778,51.10194444
96660,MORSKIE OKO,20.07111111,49.20194444
6634,MORSKIE OKO,20.07111111,49.20194444
96596,ZUBRZYCA DOLNA,19.67972222,49.50194444
91455,GDYNIA DĄBROWA,18.44916667,54.46861111
94451,LISKÓW,18.41,51.83527778
96404,ISTEBNA-STECÓWKA,18.93833333,49.58527778
92935,DRAHLE,23.555,53.38555556
94458,ZAŁĘCZE WIELKIE,18.68527778,51.08555556
94455,KORZEKWIN,18.32638889,51.66888889
4106,ZGORZELEC,15.02638889,51.13555556
94140,STRASZÓW,14.99222222,51.51888889
5553,TROKS,19.63611111,50.3025
94557,CHAJCZYNY,19.1075,51.46916667
95362,DĄBRÓWKA GÓRNA,17.93027778,50.53583333
95360,PRUDNIK,17.57444444,50.3025
95664,DĄBROWA TARNOWSKA,20.99111111,50.18611111
93464,JEZIORKI,18.14611111,52.61944444
95352,LUBICZ,17.57361111,50.90277778
93153,SKWIERZYNA,15.50722222,52.60277778
92052,SZCZECIN-PODJUCHY,14.59305556,53.36944444
94898,RADZYŃ PODLASKI,22.60027778,51.76972222
94429,IWANOWICE,18.31583333,51.65305556
96599,KALWARIA ZEBRZYDOWSKA,19.68527778,49.87
92556,KULIGI,19.705,53.43666667
1351,BORUCINO,17.99111111,54.25333333
95337,PRZEWORNO,17.16833333,50.68666667
95289,PSZENNO-ZACISZE,16.53777778,50.85333333
94852,CZESŁAWICE,22.25472222,51.30361111
92755,MRĄGOWO,21.31027778,53.88694444
92558,BRUDNICE,19.86833333,53.07027778
94102,ŚWIECIE,15.27888889,51.00361111
95137,MIRSK,15.38333333,50.98694444
93659,PRZEDWOJEWO,20.65888889,52.92055556
93259,KOŚCIAN II,16.65277778,52.08722222
93260,PRZYJEZIERZE,14.37388889,52.87055556
92954,MIKASZÓWKA,23.395,53.8875
92754,DZBENIN,21.55222222,53.05416667
95583,WĄSOSZ,19.68583333,50.7375
93462,JAKSICE II,18.19972222,52.87083333
91253,SŁUPSK II,16.99777778,54.47083333
92260,WICEWO,16.12361111,53.8875
94169,MIEDZIANA,15.11638889,51.02083333
95001,SIENIAWKA,14.82944444,50.8875
94952,UHNIN,23.06805556,51.57111111
98501,LIPNICA WIELKA,19.54527778,49.53777778
94456,SKOMLIN,18.37333333,51.17111111
91357,NIESIOŁOWICE-RZEPISKA,17.84888889,54.20444444
92053,SIERAKOWO,14.50333333,53.50444444
95586,WOJKOWICE,19.0575,50.37138889
92750,GRĄDY PODMIEJSKIE,21.95027778,53.82166667
94721,PIONKI,21.4375,51.47166667
