station_seqnum,metro_id,Nazwa_stacji,longitude,latitude,who_entered,country_seqnum,source_seqnum,use_index,station_id
1420001,210,RESKO-SMÓLSKO,15.41472222,53.77166667,7,221,118,1,353150210
1420002,1201,DARŁOWO,16.38333333,54.45,7,221,118,1,254160020
1420003,1202,MIASTKO,16.98333333,54.01666667,7,221,118,1,254160110
1420004,1302,KARŻNICZKA,17.23333333,54.48333333,7,221,118,1,254170040
1420005,1303,SŁUPSK,17.0,54.46666667,7,221,118,1,254179998
1420006,1304,CZARNA DĄBRÓWKA,17.56666667,54.35,7,221,118,1,254179996
1420007,1305,KOŚCIERZYNA,17.96666667,54.13333333,7,221,118,1,254170140
1420008,1350,SŁUPSK,17.1,54.48333333,7,221,118,1,254179999
1420009,1351,BORUCINO,17.99111111,54.25333333,7,221,118,1,254170210
1420010,1402,GDYNIA,18.56666667,54.51666667,7,221,118,1,254180060
1420011,1404,GDAŃSK-ŚWIBNO,18.93333333,54.33333333,7,221,118,1,254180110
1420012,1407,GDAŃSK-RĘBIECHOWO,18.46666667,54.38333333,7,221,118,1,254180090
1420013,1408,GDAŃSK-WRZESZCZ,18.6,54.38333333,7,221,118,1,254189999
1420014,1503,KMIECIN,19.16666667,54.18333333,7,221,118,1,254190120
1420015,1505,FROMBORK,19.68333333,54.36666667,7,221,118,1,254190050
1420016,1550,LIPOWINA,19.98333333,54.35,7,221,118,1,254199995
1420017,1601,LIDZBARK WARMIŃSKI,20.6,54.13333333,7,221,118,1,254200080
1420018,1801,GOŁDAP,22.31666667,54.31666667,7,221,118,1,254220030
1420019,2003,LIPNIK (LIPKI),14.96666667,53.35,7,221,118,1,253149998
1420020,2004,GOLENIÓW,14.89305556,53.59305556,7,221,118,1,253140060
1420021,2102,PRZELEWICE,15.08333333,53.1,7,221,118,1,253150190
1420022,2201,POŁCZYN-ZDRÓJ,16.08333333,53.76666667,7,221,118,1,253169997
1420023,2202,WIERZCHOWO,16.11666667,53.46666667,7,221,118,1,253160090
1420024,2401,RADOSTOWO,18.75,53.98333333,7,221,118,1,253180020
1420025,2402,ŚLIWICE,18.18333333,53.7,7,221,118,1,253180090
1420026,2403,GRUDZIĄDZ,18.71666667,53.43333333,7,221,118,1,253180150
1420027,2404,KOŃCZEWICE,18.55,53.18333333,7,221,118,1,253189992
1420028,2450,BYDGOSZCZ,18.05,53.16666667,7,221,118,1,253180220
1420029,2502,DOBROCIN,19.83333333,53.91666667,7,221,118,1,253190030
1420030,2503,PRABUTY,19.21666667,53.73333333,7,221,118,1,253190070
1420031,2505,LIDZBARK,19.83333333,53.25,7,221,118,1,253190220
1420032,2601,BISKUPIEC,20.98333333,53.85,7,221,118,1,253209997
1420033,2701,NIKUTOWO,21.3,53.83333333,7,221,118,1,253219996
1420034,2703,ZAWODZIE,21.4,53.38333333,7,221,118,1,253219998
1420035,2705,ŚWIĘTAJNO,21.22777778,53.56333333,7,221,118,1,253210370
1420036,2750,MYSZYNIEC,21.35,53.38333333,7,221,118,1,253210210
1420037,2804,MARIANOWO,22.1,53.21666667,7,221,118,1,253220180
1420038,3101,GORZYŃ,15.9,52.56666667,7,221,118,1,252150120
1420039,3104,LUBINICKO-ŚWIEBODZIN,15.55,52.25,7,221,118,1,252150180
1420040,3202,KRZYŻ,15.98333333,52.88333333,7,221,118,1,252150050
1420041,3203,SZAMOTUŁY-BABORÓWKO,16.63333333,52.58333333,7,221,118,1,252160110
1420042,3204,PAPROĆ,16.18333333,52.3,7,221,118,1,252160160
1420043,3205,JEZIORY,16.8,52.26666667,7,221,118,1,252169996
1420044,3206,WIELICHOWO,16.35,52.11666667,7,221,118,1,252160230
1420045,3303,GNIEZNO,17.56666667,52.55,7,221,118,1,252170110
1420046,3304,SŁUPCA,17.86666667,52.28333333,7,221,118,1,252170190
1420047,3401,CIECHOCINEK,18.8,52.88333333,7,221,118,1,252189999
1420048,3402,INOWROCŁAW,18.23333333,52.8,7,221,118,1,252189998
1420049,3501,GŁODOWO,19.23333333,52.83333333,7,221,118,1,252190030
1420050,3506,OSTROWY,19.16666667,52.3,7,221,118,1,252199997
1420051,3508,TOPOLA-BŁONIE,19.18333333,52.08333333,7,221,118,1,252199995
1420052,3602,POŚWIĘTNE,20.38333333,52.63333333,7,221,118,1,252200060
1420053,3607,KAWĘCZYN,20.35,52.16666667,7,221,118,1,252209996
1420054,3704,WARSZAWA-OBSERWATORIUM,21.03333333,52.21666667,7,221,118,1,252210160
1420055,3801,SZEPIETOWO,22.55,52.85,7,221,118,1,252220030
1420056,3901,BIELSK PODLASKI,23.16666667,52.76666667,7,221,118,1,252239998
1420057,3903,BIAŁA PODLASKA,23.08333333,52.03333333,7,221,118,1,252239995
1420058,4101,GRABIK,15.11666667,51.65,7,221,118,1,251150080
1420059,4104,TOMASZÓW BOLESŁAWIECKI,15.68333333,51.28333333,7,221,118,1,251150180
1420060,4106,ZGORZELEC,15.02638889,51.13555556,7,221,118,1,251150250
1420061,4150,PASTERZOWICE,15.56666667,51.6,7,221,118,1,251159997
1420062,4202,POLKOWICE DOLNE,16.05,51.5,7,221,118,1,251160150
1420063,4205,KWIETNO,16.46666667,51.18333333,7,221,118,1,251169996
1420064,4250,CHWAŁKOWICE,16.61388889,51.44888889,7,221,118,1,251160170
1420065,4301,WITASZYCE,17.55,51.95,7,221,118,1,251170030
1420066,4303,GRABOWNICA,17.45,51.46666667,7,221,118,1,251170150
1420067,4304,NAMYSŁÓW,17.73333333,51.08333333,7,221,118,1,251170290
1420068,4350,JELCZ-LASKOWICE,17.35,51.05,7,221,118,1,251170320
1420069,4351,WOLA KSIĄŻĘCA,17.58916667,53.96138889,7,221,118,1,251170380
1420070,4401,SIERADZ,18.7,51.6,7,221,118,1,251180090
1420071,4404,SIERADZ-DZIGORZEW,18.70472222,51.62416667,7,221,118,1,251180350
1420072,4502,STRZELNA,19.9,51.81666667,7,221,118,1,251199997
1420073,4601,SKIERNIEWICE,20.16666667,51.96666667,7,221,118,1,251200030
1420074,4605,ŁAZISKA,20.91666667,51.33333333,7,221,118,1,251200150
1420075,4705,PUŁAWY,21.96666667,51.41666667,7,221,118,1,251210120
1420076,4706,OPOLE LUBELSKIE,21.93333333,51.13333333,7,221,118,1,251219997
1420077,4708,RADOM,21.11666667,51.41666667,7,221,118,1,251219999
1420078,4801,RADZYŃ PODLASKI,22.6,51.76666667,7,221,118,1,251229999
1420079,4803,NOWA WIEŚ,22.75,51.45,7,221,118,1,251229998
1420080,4902,BEZEK,23.26666667,51.18333333,7,221,118,1,251230120
1420081,5001,BOGATYNIA,14.98333333,50.9,7,221,118,1,250140030
1420082,5101,ŚWIERADÓW-ZDRÓJ,15.33333333,50.9,7,221,118,1,250150090
1420083,5102,CIEPLICE ŚLĄSKIE-ZDRÓJ,15.68333333,50.86666667,7,221,118,1,250159998
1420084,5103,SZKLARSKA PORĘBA,15.53333333,50.83333333,7,221,118,1,250150150
1420085,5105,KARPACZ,15.78333333,50.78333333,7,221,118,1,250150220
1420086,5106,PAPROTKI,15.95,50.73333333,7,221,118,1,250150250
1420087,5150,JAKUSZYCE,15.45,50.81666667,7,221,118,1,250150170
1420088,5151,ŚWIERADÓW ZDRÓJ,15.32555556,50.90611111,7,221,118,1,250150530
1420089,5203,SZCZAWNO-ZDRÓJ,16.23333333,50.8,7,221,118,1,250160130
1420090,5205,TARNÓW,16.8,50.58333333,7,221,118,1,250160360
1420091,5208,LĄDEK-ZDRÓJ,16.88333333,50.35,7,221,118,1,250160520
1420092,5211,DŁUGOPOLE-ZDRÓJ,16.63333333,50.25,7,221,118,1,250160590
1420093,5250,PSZENNO,16.55,50.85,7,221,118,1,250160090
1420094,5252,BOLESŁAWÓW,16.88333333,50.25,7,221,118,1,250160610
1420095,5254,SŁOSZÓW,16.37972222,50.41,7,221,118,1,250160480
1420096,5255,ŚNIEŻNIK,16.8325,50.20833333,7,221,118,1,250160970
1420097,5302,DOBROGOSZCZ,17.01666667,50.76666667,7,221,118,1,250170110
1420098,5303,GRODKÓW,17.4,50.68333333,7,221,118,1,250170140
1420099,5304,KORFANTÓW,17.6,50.48333333,7,221,118,1,250170240
1420100,5305,OTMUCHÓW,17.16666667,50.46666667,7,221,118,1,250170250
1420101,5307,PRUDNIK,17.56666667,50.31666667,7,221,118,1,250170320
1420102,5308,GŁUCHOŁAZY,17.38333333,50.3,7,221,118,1,250170330
1420103,5309,GŁUBCZYCE,17.8,50.18333333,7,221,118,1,250170390
1420104,5350,ŁOSIÓW,17.55,50.78333333,7,221,118,1,250179998
1420105,5352,KORFANTÓW II,17.61277778,50.475,7,221,118,1,250170750
1420106,5401,STARE OLESNO,18.03388889,50.08444444,7,221,118,1,250180030
1420107,5402,LUBLINIEC,18.7,50.68333333,7,221,118,1,250189996
1420108,5403,GÓRA ŚW.ANNY,18.16666667,50.45,7,221,118,1,250189993
1420109,5404,ŚWIERKLANIEC,18.95,50.43333333,7,221,118,1,250180270
1420110,5407,SUKOWICE,18.16666667,50.26666667,7,221,118,1,250180380
1420111,5408,RYBNIK,18.55,50.1,7,221,118,1,250180520
1420112,5409,PSZCZYNA,18.91666667,50.0,7,221,118,1,249180010
1420113,5450,PŁUŻNICZKA,18.5,50.45,7,221,118,1,250189990
1420114,5502,SZCZEKOCINY,19.8,50.63333333,7,221,118,1,250199990
1420115,5505,ZĄBKOWICE,19.28333333,50.36666667,7,221,118,1,250190250
1420116,5506,OLEWIN,19.6025,50.2775,7,221,118,1,250190290
1420117,5508,BIERUŃ STARY,19.1,50.08333333,7,221,118,1,250190380
1420118,5511,KRAKÓW-OBSERWATORIUM,19.96666667,50.06666667,7,221,118,1,250190390
1420119,5553,TROKS,19.63611111,50.3025,7,221,118,1,250190850
1420120,5601,BODZENTYN,20.95,50.95,7,221,118,1,250200040
1420121,5602,SKRONIÓW,20.26666667,50.63333333,7,221,118,1,250200120
1420122,5604,MIECHÓW,20.03333333,50.36666667,7,221,118,1,250200210
1420123,5605,SIELEC,20.41666667,50.31666667,7,221,118,1,250200220
1420124,5606,BORUSOWA,20.8,50.28333333,7,221,118,1,250200230
1420125,5608,IGOŁOMIA,20.26666667,50.1,7,221,118,1,250200280
1420126,5609,WIELICZKA,20.05,50.0,7,221,118,1,250200310
1420127,5708,CHORZELÓW,21.45,50.35,7,221,118,1,250210180
1420128,5709,KOLBUSZOWA,21.8,50.23333333,7,221,118,1,250219988
1420129,5751,ZAWADA,21.48333333,50.06666667,7,221,118,1,250210240
1420130,5802,JAROCIN,22.3,50.56666667,7,221,118,1,250220120
1420131,5805,LEŻAJSK,22.41666667,50.25,7,221,118,1,250229995
1420132,5850,MIROCIN,22.56666667,50.03333333,7,221,118,1,250229991
1420133,5904,LUBACZÓW,23.13333333,50.15,7,221,118,1,250239994
1420134,6402,ZABORZE,18.8,49.86666667,7,221,118,1,249189990
1420135,6403,CIESZYN,18.63333333,49.75,7,221,118,1,249180130
1420136,6404,WISŁA,18.86666667,49.65,7,221,118,1,249180230
1420137,6408,ISTEBNA-KUBALONKA,18.9,49.6,7,221,118,1,249180260
1420138,6452,CIESZYN,18.60583333,49.7725,7,221,118,1,249180550
1420139,6501,LIBERTÓW,19.9,49.96666667,7,221,118,1,249190030
1420140,6507,MAKÓW PODHALAŃSKI,19.68333333,49.73333333,7,221,118,1,249190190
1420141,6509,ŻYWIEC,19.23333333,49.71666667,7,221,118,1,249199992
1420142,6510,NOWY DWÓR,19.16666667,49.65,7,221,118,1,249190330
1420143,6512,RABKA,19.96666667,49.61666667,7,221,118,1,249190370
1420144,6513,ZAWOJA,19.51666667,49.61666667,7,221,118,1,249190350
1420145,6515,STAŃCOWA,19.55,49.53333333,7,221,118,1,249199987
1420146,6517,SIENIAWA,19.91666667,49.53333333,7,221,118,1,249199986
1420147,6519,CZARNY DUNAJEC,19.85,49.45,7,221,118,1,249199984
1420148,6522,ANTAŁÓWKA,19.98333333,49.3,7,221,118,1,249199978
1420149,6525,POLANA CHOCHOŁOWSKA,19.78333333,49.23333333,7,221,118,1,249190670
1420150,6526,HALA ORNAK,19.86666667,49.23333333,7,221,118,1,249190680
1420151,6551,LALIKI,19.01666667,49.55,7,221,118,1,249190480
1420152,6601,BOCHNIA,20.4,49.98333333,7,221,118,1,249209999
1420153,6602,JODŁOWNIK,20.25,49.78333333,7,221,118,1,249200110
1420154,6603,CIĘŻKOWICE,20.08583333,49.03527778,7,221,118,1,249209992
1420155,6604,ROŻNÓW,20.68333333,49.76666667,7,221,118,1,249209991
1420156,6606,ZBYSZYCE,20.66666667,49.7,7,221,118,1,249209987
1420157,6614,ŁABOWA,20.86666667,49.53333333,7,221,118,1,249209971
1420158,6616,ŁOPUSZNA,20.13333333,49.48333333,7,221,118,1,249200320
1420159,6618,KROŚCIENKO,20.43333333,49.45,7,221,118,1,249200370
1420160,6619,PIWNICZNA,20.7,49.43333333,7,221,118,1,249200410
1420161,6620,SZCZAWNICA,20.5,49.43333333,7,221,118,1,249209977
1420162,6622,CZORSZTYN-NADZAMCZE,20.33333333,49.43333333,7,221,118,1,249209978
1420163,6623,KRYNICA,20.96666667,49.41666667,7,221,118,1,249200470
1420164,6626,BUKOWINA TATRZAŃSKA,20.11666667,49.35,7,221,118,1,249200480
1420165,6631,ŁYSA POLANA,20.11666667,49.26666667,7,221,118,1,249200530
1420166,6632,HALA GĄSIENICOWA,20.00583333,49.24416667,7,221,118,1,249200540
1420167,6634,MORSKIE OKO,20.07111111,49.20194444,7,221,118,1,249200910
1420168,6650,JASTRZĘBIA,20.9,49.78333333,7,221,118,1,249200130
1420169,6651,DOBCZYCE,20.06666667,49.88333333,7,221,118,1,249200070
